Arm,Far,Tur,Ind,Hin,Urd
0.76583046,0.84504426,0.9014115,0.86264426,0.7349091,0.9047059
0.75073224,0.8703423,0.8459027,0.9153783,0.84263676,0.87314266
0.73606175,0.84155095,0.85431445,0.93537986,0.7735499,0.7859384
0.7289543,0.75363463,0.8259571,0.9373258,0.6789587,0.69044566
0.7150824,0.7421703,0.80434877,0.9083396,0.64575064,0.677925
0.7290133,0.71339196,0.7553825,0.8954379,0.5965037,0.6507038
0.69671345,0.6551437,0.6684058,0.85265666,0.5589696,0.6244582
0.6611663,0.5875923,0.64393395,0.75461036,0.53684205,0.5679237
0.6415028,0.6015026,0.5964983,0.675148,0.5714555,0.5773576
0.6602172,0.7010465,0.6864558,0.73396206,0.64973277,0.67209756
0.59892374,0.6932502,0.5769795,0.7286753,0.6036312,0.6201492
0.5562024,0.7172847,0.79048735,0.758088,0.5009986,0.66133326
0.5913064,0.7476046,0.88644475,0.79605037,0.5730912,0.6304482
