Arm,Far,Tur,Ind,Hin,Urd
0.48555458,0.82739484,0.68741286,0.72779703,0.39926848,0.55065066
0.42848524,0.8502382,0.58810997,0.7749921,0.40619266,0.64172286
0.6272296,0.8480722,0.64851946,0.8587821,0.5481229,0.69280696
0.5667528,0.8624721,0.62941355,0.86523765,0.54235107,0.6878727
0.6002484,0.8577448,0.6058129,0.8184379,0.5596888,0.64213544
0.5479471,0.86311144,0.6441779,0.83020335,0.49257,0.6081237
0.55258024,0.8610579,0.5926477,0.8090871,0.487223,0.5912597
0.2975292,0.7998699,0.38586867,0.7307827,0.3028233,0.447902
0.375535,0.76203305,0.43364042,0.7384202,0.29981557,0.4035043
0.33289552,0.7489806,0.37797618,0.6878514,0.3044082,0.42452592
0.5084692,0.70869386,0.4586367,0.7415166,0.3697086,0.4434208
0.4471689,0.6950977,0.47550076,0.6614445,0.25922933,0.4422582
0.5037012,0.62214726,0.5892486,0.63287723,0.35842767,0.4354781
