Arm,Far,Tur,Ind,Hin,Urd
0.5007546,0.6867695,0.8327804,0.8327112,0.5698578,0.71197855
0.3720042,0.6669049,0.729439,0.6479649,0.6055602,0.6934462
0.4383221,0.68507326,0.7132502,0.62088394,0.5895256,0.63131595
0.4387023,0.61185324,0.6503636,0.5252311,0.5643049,0.54902613
0.3934938,0.60678566,0.6335145,0.49908748,0.59083724,0.55599695
0.3804135,0.5737801,0.58915347,0.5021855,0.58977604,0.52638805
0.41878107,0.6119541,0.45477062,0.5316311,0.58077747,0.5414567
0.33872092,0.55689186,0.4175276,0.66200423,0.5118908,0.45947915
0.46753153,0.6566786,0.51770633,0.6193199,0.5364168,0.5025208
0.3784888,0.6345073,0.47778052,0.53946805,0.4745101,0.51241964
0.38723516,0.5593434,0.5648851,0.59360003,0.4832068,0.5246796
0.41934192,0.54420704,0.68012613,0.6564255,0.52868223,0.53290063
0.57037824,0.6500429,0.8310793,0.7440871,0.51141447,0.53492516
