Arm,Far,Tur,Ind,Hin,Urd
0.5905699,0.86199886,0.75163656,0.8479366,0.38137975,0.45149022
0.5289471,0.79573745,0.6893078,0.9163924,0.34341928,0.4416288
0.56523365,0.7681757,0.68175286,0.92997724,0.37259138,0.4379169
0.5525105,0.7844809,0.7145437,0.94232315,0.40737283,0.4890879
0.5409104,0.7888151,0.68606347,0.9312849,0.38453713,0.46468785
0.54926,0.8098602,0.7143801,0.9364896,0.39159948,0.5107838
0.5661714,0.852166,0.6618126,0.94275707,0.36522248,0.5107253
0.6158644,0.8039674,0.65791696,0.91717327,0.39022052,0.54480445
0.5445826,0.7815088,0.5916831,0.90929765,0.3717173,0.48799628
0.47201198,0.8078634,0.5742959,0.88125396,0.38710546,0.5417415
0.34997422,0.6933657,0.52006835,0.7791093,0.3070666,0.33376798
0.27637932,0.5529372,0.46033034,0.7337584,0.14711484,0.17615114
0.34535715,0.6728698,0.5539535,0.6647891,0.20917049,0.544242
