Arm,Far,Tur,Ind,Hin,Urd
0.6414355,0.7001651,0.75315475,0.8420134,0.60570735,0.6960182
0.60302085,0.76462984,0.790773,0.7911346,0.656847,0.7307865
0.6329354,0.8111295,0.7495868,0.8798335,0.6203725,0.70699346
0.66325325,0.77661926,0.78766525,0.867008,0.65787584,0.7042321
0.63880116,0.78497565,0.80481565,0.8712979,0.6344172,0.67060155
0.62942153,0.77251995,0.7695126,0.9011729,0.5948387,0.6545632
0.62546843,0.82158756,0.7638372,0.8906691,0.6509963,0.72399956
0.6647901,0.80791825,0.71633834,0.8425429,0.6171373,0.65279883
0.6560848,0.76958907,0.7099294,0.8138456,0.5071602,0.6309172
0.61224186,0.75338984,0.67829466,0.8104218,0.48346505,0.61882675
0.6829985,0.77544326,0.6747465,0.7635303,0.42557883,0.6177115
0.57666916,0.68572295,0.6498499,0.64899933,0.36356702,0.45860118
0.4474399,0.613825,0.59468067,0.6351308,0.26971826,0.42714906
