Arm,Far,Tur,Ind,Hin,Urd
0.5884044,0.6408764,0.6369652,0.805652,0.59839314,0.6206137
0.47674194,0.59342283,0.6051856,0.74488187,0.5491802,0.63120645
0.45137435,0.5990858,0.61300427,0.6946774,0.5890746,0.62755966
0.45510772,0.65172875,0.65779245,0.7403023,0.58464664,0.65000594
0.3882184,0.61829585,0.6495269,0.6728916,0.5778609,0.62664175
0.44508603,0.63918126,0.6753812,0.7390529,0.6408007,0.6375134
0.524253,0.6274361,0.6921542,0.68474835,0.5892848,0.578537
0.5801154,0.56895185,0.72010475,0.74044114,0.6267876,0.5469084
0.45327902,0.55126286,0.6080099,0.653959,0.49890047,0.47945967
0.38184583,0.51284117,0.5595398,0.7171574,0.51357263,0.50038314
0.53432745,0.54195726,0.6600998,0.68964195,0.5204334,0.47355515
0.59551805,0.54070705,0.7733817,0.8107631,0.5335741,0.42220518
0.6711995,0.5733044,0.87653023,0.80670047,0.58063745,0.4905001
