Bul,Cze,Slo,Cat,Ita,Rom
0.74465895,0.7707643,0.8145782,0.84915173,0.7334318,0.7932777
0.8130601,0.77036405,0.8173171,0.8826553,0.80035454,0.76155984
0.7846873,0.7219757,0.7555338,0.85903275,0.78674674,0.7453517
0.801331,0.7836762,0.785328,0.8927916,0.81888455,0.7527984
0.7717639,0.74738526,0.7755463,0.88648725,0.846711,0.7430938
0.7412147,0.6511419,0.73120356,0.8913641,0.8404502,0.67893046
0.70777106,0.6439064,0.7158985,0.8594996,0.7850653,0.6612071
0.6977493,0.5611413,0.66077715,0.8469357,0.7355598,0.6463039
0.7161213,0.58609676,0.67104644,0.82534724,0.6993977,0.6173347
0.7198802,0.48862126,0.6337442,0.7748221,0.6701065,0.66201556
0.6410431,0.4720274,0.6197432,0.74781877,0.72184217,0.6359843
0.61153644,0.43153903,0.61073196,0.7062314,0.60767835,0.62071455
0.6308341,0.48522547,0.5536146,0.70619357,0.57832223,0.55141586
