Bul,Cze,Slo,Cat,Ita,Rom
0.7601025,0.8199055,0.88871104,0.8584228,0.84976375,0.84455127
0.8414833,0.8324709,0.8704589,0.89468557,0.88346636,0.8571972
0.80401075,0.82377386,0.78070146,0.8764197,0.85555744,0.834017
0.82118124,0.85976297,0.82583624,0.8819273,0.86709976,0.7861265
0.79781365,0.76480454,0.796774,0.8762053,0.8630401,0.7721233
0.76592594,0.65293205,0.73642826,0.8289787,0.86012506,0.691803
0.7668119,0.618385,0.7244074,0.86904454,0.85058486,0.70927876
0.6856981,0.59680057,0.6608642,0.83850676,0.7885448,0.62950045
0.63659924,0.5325926,0.5986397,0.7844146,0.71257573,0.56933385
0.72244614,0.62126017,0.6667312,0.77163005,0.7230219,0.6523734
0.71530765,0.64281315,0.67085356,0.7398878,0.7047435,0.64014375
0.7437641,0.58035344,0.60740596,0.74420303,0.6864299,0.6265213
0.78560036,0.48784837,0.5920042,0.72251153,0.69716346,0.6172705
