Bul,Cze,Slo,Cat,Ita,Rom
0.88889277,0.8349278,0.81584764,0.9086178,0.81053686,0.8633921
0.85790104,0.85434926,0.8415188,0.9061722,0.8635103,0.87269926
0.8725824,0.87590075,0.8292006,0.9017955,0.873336,0.8886001
0.8310947,0.87682766,0.7894308,0.8983522,0.88460076,0.84702605
0.77599466,0.8457613,0.7737141,0.8948616,0.8569656,0.8068468
0.72064495,0.8139297,0.70118886,0.8385096,0.82123184,0.71537757
0.7158826,0.77988356,0.6758569,0.74680644,0.7315758,0.6102636
0.7116937,0.7425442,0.6477648,0.6658122,0.68504393,0.6219737
0.7361403,0.75567836,0.7032838,0.7083782,0.7371352,0.62893385
0.6662599,0.6713131,0.63133866,0.6916804,0.6937949,0.6276901
0.62239546,0.68930113,0.5464247,0.6369631,0.60720026,0.6086982
0.5372895,0.6571228,0.50340325,0.5488789,0.48393318,0.5473379
0.63974977,0.63928217,0.5176161,0.6918708,0.64098805,0.64019936
