Bul,Cze,Slo,Cat,Ita,Rom
0.7095722,0.81301475,0.8079139,0.8902536,0.73847556,0.7806575
0.7299153,0.69954294,0.71836513,0.8231652,0.76032037,0.72246635
0.746021,0.7415387,0.6977421,0.8590762,0.8015928,0.6895373
0.75160754,0.752826,0.69964767,0.8685164,0.7917825,0.6646745
0.75131327,0.7402546,0.7349321,0.87247634,0.77861017,0.6597676
0.7086042,0.67944413,0.6694549,0.85879254,0.7578222,0.60612285
0.73973304,0.7208084,0.6916258,0.87218726,0.7996644,0.6465482
0.70329237,0.66961086,0.6426551,0.8549301,0.78712696,0.6291804
0.6695198,0.624088,0.6114521,0.8082168,0.6900299,0.5805933
0.7375112,0.6673165,0.71690536,0.84812933,0.7756871,0.7103286
0.65437466,0.5555912,0.59490657,0.7842329,0.64310837,0.58332986
0.7249807,0.56625855,0.5872622,0.73956716,0.61727405,0.57351935
0.7425267,0.53136885,0.5792871,0.7880815,0.677857,0.6141882
