Bul,Cze,Slo,Cat,Ita,Rom
0.691241,0.68937033,0.60353476,0.56315964,0.78633195,0.7771418
0.7064289,0.69809234,0.7199816,0.6780107,0.7415078,0.784146
0.7593037,0.6884967,0.6752546,0.73079985,0.7204619,0.80241567
0.7422325,0.67523366,0.6951409,0.7659471,0.73491687,0.8003935
0.72241724,0.688835,0.7086726,0.7377531,0.73130053,0.81377244
0.72925305,0.682355,0.67776686,0.77656657,0.73647904,0.808412
0.7301326,0.6610825,0.6822829,0.8066253,0.7435681,0.7864685
0.69992816,0.60429484,0.6418003,0.83429503,0.7447284,0.7709971
0.6899036,0.59163606,0.65206665,0.76333326,0.6763115,0.7667171
0.61009806,0.51567155,0.6230518,0.72094905,0.6131039,0.743635
0.5033107,0.46578872,0.5169951,0.5939892,0.5422823,0.63826656
0.4967529,0.4080112,0.501375,0.43099445,0.48700702,0.57318795
0.6532453,0.43195933,0.5199578,0.6321307,0.49085146,0.6358259
