Bul,Cze,Slo,Cat,Ita,Rom
0.7782095,0.762404,0.781372,0.7116487,0.7857651,0.7729104
0.81595623,0.7434567,0.8144967,0.80958533,0.8801036,0.78229517
0.7713377,0.74315685,0.8006026,0.7751152,0.8318652,0.75518525
0.71791315,0.7749417,0.797086,0.7401979,0.77805203,0.74230677
0.69310683,0.74194676,0.7892703,0.7244148,0.7721444,0.69627523
0.67106616,0.75966805,0.76155823,0.76206106,0.80076253,0.62039584
0.5535821,0.6793477,0.7282823,0.65398914,0.660333,0.63066924
0.62675875,0.63451356,0.6866711,0.6423701,0.65580285,0.622206
0.5523223,0.6236324,0.6752438,0.6621389,0.6410699,0.6224107
0.6003835,0.5708106,0.6259765,0.71150017,0.6594892,0.65900004
0.64461213,0.47753945,0.58319974,0.7235956,0.59616333,0.6178383
0.67432266,0.47521645,0.60792863,0.60808426,0.4592717,0.539099
0.6777988,0.55740553,0.64535797,0.65925825,0.5730584,0.615895
