0,1,2,3,4,5,6,7,8,9,10,11,12
,role,case,animacy,subject_word,verb_word,object_word,predicted_role,probability_A,layer,source_test_accuracy_A,"source_test_accuracy_O
",
0,O,"""Acc",,,,arăta,barcă,O,3.10E-06,12,0.906976744,"0.7852998065764023
"
1,S,"""Acc",,,băiețelul,țipa,,A,0.999999166,12,0.906976744,"0.7852998065764023
"
2,O,"""Acc",,,,vârî,capul,O,1.30E-06,12,0.906976744,"0.7852998065764023
"
3,A,"""Acc",,,femeia,strânge,îl,A,0.997233093,12,0.906976744,"0.7852998065764023
"
4,S,"""Acc",,,brațele,putea,,O,0.005220145,12,0.906976744,"0.7852998065764023
"
5,A,"""Acc",,,elicopterul,lansa,bombă,A,0.999972343,12,0.906976744,"0.7852998065764023
"
6,O,"""Acc",,,,lansa,bombă,O,0.000204168,12,0.906976744,"0.7852998065764023
"
7,S,"""Acc",,,barca,face,,O,7.57E-05,12,0.906976744,"0.7852998065764023
"
8,S,,,Winston,opri,,A,0.999007761,12,0.906976744,"0.7852998065764023
",
9,A,,,junghi,ține,#NAME?,O,0.000656562,12,0.906976744,"0.7852998065764023
",
10,O,"""Acc",,,,turna,șirul,O,0.023055257,12,0.906976744,"0.7852998065764023
"
11,A,"""Acc",,,amintire,limpezi,i,O,0.002718067,12,0.906976744,"0.7852998065764023
"
12,O,"""Acc",,,,începe,jurnalul,O,4.83E-08,12,0.906976744,"0.7852998065764023
"
13,S,,,lucru,avea,,O,0.111474581,12,0.906976744,"0.7852998065764023
",
14,A,,,Winston,întoarce,buton,A,0.937269628,12,0.906976744,"0.7852998065764023
",
15,O,,,,întoarce,buton,O,9.60E-05,12,0.906976744,"0.7852998065764023
",
16,S,"""Acc",,,vocea,slăbi,,O,0.093297124,12,0.906976744,"0.7852998065764023
"
17,S-passive,"""Acc",,,cuvintele,distinge,,O,0.001688688,12,0.906976744,"0.7852998065764023
"
18,S,,,Winston,lucra,,O,0.000523822,12,0.906976744,"0.7852998065764023
",
19,A,"""Acc",,,lumea,căra,scaunele,A,0.999840021,12,0.906976744,"0.7852998065764023
"
20,O,"""Acc",,,,căra,scaunele,O,0.000595516,12,0.906976744,"0.7852998065764023
"
21,S,,,persoane,apărea,,O,0.000683443,12,0.906976744,"0.7852998065764023
",
22,O,"""Acc",,,,face,muncă,O,1.27E-05,12,0.906976744,"0.7852998065764023
"
23,O,,,,avea,ani,A,0.5,12,0.906976744,"0.7852998065764023
",
24,O,,,,avea,păr,O,0.006468367,12,0.906976744,"0.7852998065764023
",
25,O,"""Acc",,,,avea,eșarfă,O,0.062753007,12,0.906976744,"0.7852998065764023
"
26,O,"""Acc",,,,scoate,frumusețea,O,0.000267572,12,0.906976744,"0.7852998065764023
"
27,S,"""Acc",,,fata,apărea,,A,0.980824888,12,0.906976744,"0.7852998065764023
"
28,S,"""Acc",,,semnalul,suna,,O,9.46E-07,12,0.906976744,"0.7852998065764023
"
29,O,"""Acc",,,,arunca,privire,O,0.000355379,12,0.906976744,"0.7852998065764023
"
30,O,,,,veni,zile,O,0.126184613,12,0.906976744,"0.7852998065764023
",
31,S-passive,"""Acc",,,mintea,cuprinde,,A,0.718890131,12,0.906976744,"0.7852998065764023
"
32,A,"""Acc",,,mișcare,părea,i,O,0.013541408,12,0.906976744,"0.7852998065764023
"
33,A,"""Acc",,,imaginea,părăsi,#NAME?,O,8.34E-05,12,0.906976744,"0.7852998065764023
"
34,S,"""Acc",,,ușurare,sta,,O,2.55E-05,12,0.906976744,"0.7852998065764023
"
35,O,,,,avea,indiciu,O,0.017041788,12,0.906976744,"0.7852998065764023
",
36,O,"""Dat",,,,întâmpla,fetei,O,1.47E-05,12,0.906976744,"0.7852998065764023
"
37,O,"""Acc",,,,face,anchetă,O,0.108014092,12,0.906976744,"0.7852998065764023
"
38,S,"""Acc",,,varianta,fi,,A,0.999908447,12,0.906976744,"0.7852998065764023
"
39,O,"""Acc",,,,scoate,eșarfa,O,0.000527338,12,0.906976744,"0.7852998065764023
"
40,O,"""Acc",,,,susține,brațul,O,7.65E-07,12,0.906976744,"0.7852998065764023
"
41,O,"""Acc",,,,pune,banderolă,O,0.001826878,12,0.906976744,"0.7852998065764023
"
42,O,,,,avea,pas,O,2.16E-05,12,0.906976744,"0.7852998065764023
",
43,S,"""Acc",,,sala,umple,,A,0.990146816,12,0.906976744,"0.7852998065764023
"
44,A,"""Acc",,,Durerea,trece,îi,A,0.920140564,12,0.906976744,"0.7852998065764023
"
45,O,"""Acc",,,,lua,tocul,O,5.63E-06,12,0.906976744,"0.7852998065764023
"
46,A,"""Acc",,,Fata,opri,se,A,0.999970675,12,0.906976744,"0.7852998065764023
"
47,S,,,ani,fi,,O,0.002665737,12,0.906976744,"0.7852998065764023
",
48,S,,,întuneric,exista,,O,0.043720279,12,0.906976744,"0.7852998065764023
",
49,A,"""Acc",,,vorbele,impresiona,#NAME?,A,0.67228359,12,0.906976744,"0.7852998065764023
"
50,O,"""Acc",,,,căpăta,semnificație,O,2.33E-06,12,0.906976744,"0.7852998065764023
"
51,O,"""Acc",,,,avea,visul,O,0.075864211,12,0.906976744,"0.7852998065764023
"
52,O,,,,vedea,O'Brien,O,6.08E-05,12,0.906976744,"0.7852998065764023
",
53,O,"""Acc",,,,identifica,vocea,O,0.003988575,12,0.906976744,"0.7852998065764023
"
54,A,,,O'Brien,vorbi,îi,A,0.991304994,12,0.906976744,"0.7852998065764023
",
55,S,,,Winston,putea,,A,0.989697754,12,0.906976744,"0.7852998065764023
",
56,O,"""Acc",,,,avea,importanță,O,0.017774072,12,0.906976744,"0.7852998065764023
"
57,S-passive,,,canal,stabili,,A,0.811258316,12,0.906976744,"0.7852998065764023
",
58,S,,,întuneric,exista,,O,0.003928692,12,0.906976744,"0.7852998065764023
",
59,A,,,O'Brien,spune,îi,A,0.972894788,12,0.906976744,"0.7852998065764023
",
60,S,"""Acc",,,Vocea,opri,,A,0.999654651,12,0.906976744,"0.7852998065764023
"
61,S,,,semnal,revărsa,,O,0.005636195,12,0.906976744,"0.7852998065764023
",
62,S,"""Acc",,,Vocea,continua,,A,0.999750435,12,0.906976744,"0.7852998065764023
"
63,S,"""Acc",,,știre,sosi,,O,0.0383357,12,0.906976744,"0.7852998065764023
"
64,A,"""Acc",,,Forțele,cuceri,victorie,A,0.999995947,12,0.906976744,"0.7852998065764023
"
65,O,"""Acc",,,,cuceri,victorie,O,0.006373857,12,0.906976744,"0.7852998065764023
"
66,A,"""Acc",,,acțiunea,aduce,războiul,A,0.997750819,12,0.906976744,"0.7852998065764023
"
67,O,"""Acc",,,,aduce,războiul,A,0.996125162,12,0.906976744,"0.7852998065764023
"
68,S-passive,"""Acc",,,sfârșitul,prevedea,,O,0.038337883,12,0.906976744,"0.7852998065764023
"
69,S,,,Winston,gândi,,O,0.000103493,12,0.906976744,"0.7852998065764023
",
70,S,"""Acc",,,anunțul,urma,,O,0.154290393,12,0.906976744,"0.7852998065764023
"
71,S-passive,"""Acc",,,rația,reduce,,A,0.903950691,12,0.906976744,"0.7852998065764023
"
72,A,"""Acc",,,Mintea,aluneca,îi,A,1,12,0.906976744,"0.7852998065764023
"
73,O,,,,spune,minciuni,O,0.031622157,12,0.906976744,"0.7852998065764023
",
74,O,,,,susține,idei,O,0.116402492,12,0.906976744,"0.7852998065764023
",
75,O,"""Acc",,,,folosi,logica,O,0.243321493,12,0.906976744,"0.7852998065764023
"
76,O,"""Acc",,,,renega,morala,O,0.319159657,12,0.906976744,"0.7852998065764023
"
77,O,,,,readuce,lucru,O,0.22196272,12,0.906976744,"0.7852998065764023
",
78,S,"""Acc",,,nevoie,fi,,O,0.096219167,12,0.906976744,"0.7852998065764023
"
