BulSA,BulSO,CzeSA,CzeSO,SloSA,SloSO,CatSA,CatSO,ItaSA,ItaSO,RomSA,RomSO
0.96797824,0.12939179,0.949072,0.109216705,0.96193254,0.13138986,0.96385884,0.15416163,0.94530505,0.122025825,0.95812094,0.08184896
0.95632654,0.13254443,0.95240295,0.10722227,0.963719,0.10509165,0.9721143,0.11330733,0.9632511,0.08875379,0.97244716,0.084963165
0.9592847,0.11386576,0.94773775,0.10437345,0.964838,0.082915194,0.97517407,0.13050996,0.959713,0.09910057,0.9580549,0.08119644
0.9661566,0.0741592,0.96493846,0.09861177,0.96957076,0.08111069,0.98376435,0.11042602,0.97172946,0.105608135,0.96599656,0.10467614
0.9655293,0.074208476,0.9610312,0.093094945,0.9590359,0.083931826,0.9817708,0.06704895,0.9676156,0.102192454,0.95608145,0.11248354
0.9628234,0.07638807,0.95494115,0.081182264,0.96019995,0.08840651,0.9824037,0.072007634,0.97734797,0.09077219,0.9682787,0.040527172
0.97488964,0.08125658,0.94525087,0.058943722,0.96153593,0.08771111,0.9748068,0.082105696,0.96491927,0.080817565,0.9658298,0.04741495
0.94916004,0.0763379,0.9337601,0.04981033,0.94591767,0.09246274,0.9732003,0.054912407,0.958936,0.08261396,0.95379907,0.053595893
0.9371071,0.071971454,0.94179124,0.072612956,0.9406419,0.07394253,0.9652171,0.05795373,0.9486217,0.094138905,0.9610486,0.059357643
0.9488992,0.07099322,0.92026925,0.06746923,0.9511373,0.1008371,0.9661113,0.083238006,0.9529169,0.0853478,0.9626763,0.08248121
0.91452897,0.1403536,0.8953544,0.10917565,0.91042423,0.09123228,0.951337,0.10919271,0.9441672,0.1269724,0.91596335,0.108023845
0.8946825,0.11708718,0.8858672,0.1066764,0.9150574,0.12888327,0.91507626,0.13190827,0.9106774,0.13317044,0.87926424,0.14367217
0.87815976,0.16709852,0.8632347,0.148973,0.88773507,0.13639693,0.9116136,0.15313962,0.9091132,0.14661206,0.88535887,0.16773659
