BulSA,BulSO,CzeSA,CzeSO,SloSA,SloSO,CatSA,CatSO,ItaSA,ItaSO,RomSA,RomSO
0.96462846,0.075575165,0.9537674,0.1295403,0.9617181,0.10593548,0.97323596,0.10733353,0.9538986,0.101308905,0.94222707,0.060144696
0.97163266,0.06426296,0.9579933,0.0784499,0.9658518,0.085448705,0.97481394,0.08711422,0.95964634,0.08448079,0.96522033,0.073650725
0.97185194,0.05347262,0.95820653,0.066851445,0.96878856,0.070817865,0.97726184,0.031776395,0.9730207,0.080961294,0.9655888,0.051450867
0.98155504,0.06176502,0.977483,0.05907381,0.97094977,0.06521821,0.9911188,0.07160147,0.97852296,0.05792484,0.97332424,0.04276827
0.97699744,0.043659355,0.972804,0.05670011,0.9719512,0.06961518,0.9846589,0.056251727,0.97450197,0.057075325,0.976967,0.034698468
0.9739022,0.03574691,0.9694978,0.04530713,0.96959037,0.052274812,0.9805178,0.03812851,0.97264045,0.043964718,0.9694755,0.016264664
0.98480505,0.050468147,0.9744467,0.063590705,0.9828962,0.06018519,0.9873854,0.03402158,0.9830206,0.04623664,0.96823055,0.039947107
0.9743402,0.055789232,0.96730846,0.058841676,0.9586544,0.056393072,0.981892,0.058532685,0.971008,0.08013632,0.9700932,0.039493393
0.96174204,0.059182204,0.9551208,0.073271014,0.9590766,0.061046645,0.97618407,0.059998978,0.9557656,0.06681639,0.9456163,0.046413373
0.95857954,0.10237855,0.9452764,0.093040936,0.95939994,0.089626215,0.9836009,0.10486618,0.9511673,0.070632525,0.9531224,0.07733042
0.9570774,0.077798255,0.91695464,0.09567411,0.9278762,0.08279542,0.9643341,0.08220559,0.9345101,0.12377837,0.9147788,0.08820224
0.94193155,0.13987091,0.9089843,0.12180512,0.91876835,0.119470224,0.96012473,0.11990569,0.94373626,0.102122694,0.9094116,0.091938905
0.93052566,0.12575844,0.9189827,0.108857356,0.93302536,0.08949577,0.94983494,0.123860046,0.93842715,0.09681557,0.9193111,0.1291208
