BulSA,BulSO,CzeSA,CzeSO,SloSA,SloSO,CatSA,CatSO,ItaSA,ItaSO,RomSA,RomSO
0.93057346,0.13957731,0.93730205,0.12527554,0.94791716,0.14444941,0.94605684,0.09366365,0.94061035,0.15089945,0.9342621,0.11943579
0.96237105,0.13155176,0.93880314,0.103440545,0.9641842,0.12920824,0.94781363,0.118444085,0.9571318,0.130092,0.9510352,0.119682126
0.94828236,0.0847921,0.9422254,0.10200083,0.9454516,0.12464068,0.9361349,0.13103624,0.9599222,0.13060075,0.9466515,0.12375388
0.937772,0.13709223,0.95991194,0.11913786,0.951045,0.10545442,0.9600152,0.095159985,0.95172644,0.09800177,0.954919,0.14458609
0.923257,0.08509818,0.9501186,0.09371539,0.96284264,0.10221292,0.9492555,0.11907445,0.95068437,0.11339337,0.9613977,0.1246049
0.9232991,0.09161217,0.9531482,0.103404365,0.96256787,0.097984076,0.9495396,0.10058034,0.9679211,0.12593731,0.9527656,0.09201335
0.94460803,0.077241406,0.92983675,0.09913311,0.95068854,0.08765533,0.9562238,0.082292415,0.93949836,0.089502275,0.9265709,0.0964023
0.92680055,0.0853041,0.92208177,0.109388925,0.93335336,0.094633676,0.94829506,0.08450709,0.9380552,0.10957353,0.94019306,0.095017076
0.90792835,0.111892745,0.9294444,0.0942436,0.9322212,0.09821271,0.94759774,0.11210846,0.923812,0.09982102,0.94633985,0.096551806
0.92032963,0.115516685,0.919766,0.1009175,0.92623377,0.101680785,0.94366544,0.14767012,0.92053485,0.1012532,0.9333707,0.09363034
0.9002031,0.13027453,0.90875244,0.10332584,0.90115637,0.13419355,0.9310979,0.15296431,0.90549886,0.12643158,0.8956748,0.13725638
0.9145645,0.1532786,0.8771466,0.090235196,0.901025,0.13164715,0.89941686,0.10487341,0.88540375,0.10923468,0.91088516,0.085601665
0.9343743,0.16148026,0.9068541,0.1368828,0.91261137,0.14318025,0.8916273,0.13799806,0.8970787,0.12847257,0.9214173,0.14020807
