0,1,2,3,4,5,6,7,8,9,10,11
,role,case,animacy,subject_word,verb_word,object_word,predicted_role,probability_A,layer,source_test_accuracy_A,"source_test_accuracy_O
"
0,A,,,Sociologists,explore,consequences,A,0.999798477,12,0.96097561,"0.8592896174863388
"
1,O,,,,explore,consequences,O,2.21E-06,12,0.96097561,"0.8592896174863388
"
2,A,,,psychologists,examine,processes,A,0.952351272,12,0.96097561,"0.8592896174863388
"
3,O,,,,examine,processes,O,0.007723919,12,0.96097561,"0.8592896174863388
"
4,O,,,,underpin,biases,O,0.000816731,12,0.96097561,"0.8592896174863388
"
5,A,,,neuroscientists,examine,underpinnings,A,0.999922514,12,0.96097561,"0.8592896174863388
"
6,O,,,,examine,underpinnings,O,0.0001044,12,0.96097561,"0.8592896174863388
"
7,A,,,theorists,explore,ways,O,0.232204139,12,0.96097561,"0.8592896174863388
"
8,O,,,,explore,ways,O,6.27E-05,12,0.96097561,"0.8592896174863388
"
9,S,,,biases,emerge,,A,0.982529402,12,0.96097561,"0.8592896174863388
"
10,A,,,researchers,possess,wealth,A,1,12,0.96097561,"0.8592896174863388
"
11,O,,,,possess,wealth,O,5.19E-07,12,0.96097561,"0.8592896174863388
"
12,O,,,,concern,origins,O,2.04E-07,12,0.96097561,"0.8592896174863388
"
13,O,,,,implement,policy,O,0.011037463,12,0.96097561,"0.8592896174863388
"
14,O,,,,reduce,occurrence,O,1.62E-06,12,0.96097561,"0.8592896174863388
"
15,S-passive,,,trainings,intend,,A,0.986644924,12,0.96097561,"0.8592896174863388
"
16,O,,,,reduce,bias,O,2.78E-05,12,0.96097561,"0.8592896174863388
"
17,O,,,,increase,awareness,O,1.47E-11,12,0.96097561,"0.8592896174863388
"
18,O,,,,face,members,O,0.007701417,12,0.96097561,"0.8592896174863388
"
19,S-passive,,,implementation,root,,O,0.440289915,12,0.96097561,"0.8592896174863388
"
20,S,,,estimates,remain,,O,0.08884982,12,0.96097561,"0.8592896174863388
"
21,S,,,study,report,,A,0.996929228,12,0.96097561,"0.8592896174863388
"
22,O,,,,use,measures,O,0.002577003,12,0.96097561,"0.8592896174863388
"
23,O,,,,report,form,O,2.23E-06,12,0.96097561,"0.8592896174863388
"
24,O,,,,see,Gibbons,A,0.99997592,12,0.96097561,"0.8592896174863388
"
25,S,,,study,seek,,A,0.985060871,12,0.96097561,"0.8592896174863388
"
26,O,,,,estimate,prevalence,O,2.27E-09,12,0.96097561,"0.8592896174863388
"
27,A,,,analysis,address,reasons,A,0.998633564,12,0.96097561,"0.8592896174863388
"
28,O,,,,address,reasons,O,0.001063189,12,0.96097561,"0.8592896174863388
"
29,A-passive,,,respondents,ask,question,A,0.999999046,12,0.96097561,"0.8592896174863388
"
30,O,,,,ask,question,O,4.13E-05,12,0.96097561,"0.8592896174863388
"
31,S-passive,,,Respondents,allow,,A,0.997873306,12,0.96097561,"0.8592896174863388
"
32,O,,,,choose,response,O,2.62E-05,12,0.96097561,"0.8592896174863388
"
33,S-passive,,,responses,recode,,A,0.84026581,12,0.96097561,"0.8592896174863388
"
34,O,,,,capture,options,O,1.03E-07,12,0.96097561,"0.8592896174863388
"
35,S-passive,,,categories,collapse,,A,0.854239047,12,0.96097561,"0.8592896174863388
"
36,S-passive,,,question,ask,,A,0.998761773,12,0.96097561,"0.8592896174863388
"
37,O,,,,report,experiences,O,0.000110927,12,0.96097561,"0.8592896174863388
"
38,S,,,pattern,result,,A,0.999946594,12,0.96097561,"0.8592896174863388
"
39,O,,,,use,category,O,0.024593877,12,0.96097561,"0.8592896174863388
"
40,S-passive,,,race,use,,A,0.769764304,12,0.96097561,"0.8592896174863388
"
41,O,,,,preserve,counts,O,8.28E-06,12,0.96097561,"0.8592896174863388
"
42,S,,,logic,appear,,A,0.999999523,12,0.96097561,"0.8592896174863388
"
43,S,,,respondents,appear,,A,0.999996185,12,0.96097561,"0.8592896174863388
"
44,S-passive,,,Respondents,ask,,A,0.999999762,12,0.96097561,"0.8592896174863388
"
45,O,,,,indicate,race,O,0.494369358,12,0.96097561,"0.8592896174863388
"
46,A-passive,,,Respondents,provide,opportunity,A,0.999999523,12,0.96097561,"0.8592896174863388
"
47,O,,,,provide,opportunity,O,7.75E-05,12,0.96097561,"0.8592896174863388
"
48,O,,,,select,race,O,0.070517793,12,0.96097561,"0.8592896174863388
"
49,O,,,,ask,question,O,7.33E-06,12,0.96097561,"0.8592896174863388
"
50,A,,,category,describe,background,A,0.991545975,12,0.96097561,"0.8592896174863388
"
51,O,,,,describe,background,O,9.18E-07,12,0.96097561,"0.8592896174863388
"
52,S-passive,,,respondents,code,,A,0.999999762,12,0.96097561,"0.8592896174863388
"
53,O,,,,indicate,race,O,0.000506959,12,0.96097561,"0.8592896174863388
"
54,O,,,,provide,information,O,0.000107149,12,0.96097561,"0.8592896174863388
"
55,S-passive,,,variables,include,,A,0.5,12,0.96097561,"0.8592896174863388
"
56,O,,,,subtract,year,O,1.16E-05,12,0.96097561,"0.8592896174863388
"
57,S-passive,,,sex,code,,A,0.623937786,12,0.96097561,"0.8592896174863388
"
58,A,,,study,include,steps,A,0.985393345,12,0.96097561,"0.8592896174863388
"
59,O,,,,include,steps,O,0.000233439,12,0.96097561,"0.8592896174863388
"
60,S-passive,,,statistics,produce,,A,0.98792845,12,0.96097561,"0.8592896174863388
"
61,O,,,,examine,proportions,O,3.95E-06,12,0.96097561,"0.8592896174863388
"
62,O,,,,assess,distribution,O,1.54E-05,12,0.96097561,"0.8592896174863388
"
63,O,,,,examine,associations,O,1.44E-08,12,0.96097561,"0.8592896174863388
"
64,S-passive,,,statistic,employ,,A,0.568381965,12,0.96097561,"0.8592896174863388
"
65,O,,,,analyze,data,O,0.000161541,12,0.96097561,"0.8592896174863388
"
66,O,,,,employ,suite,O,0.000412467,12,0.96097561,"0.8592896174863388
"
67,S-passive,,,test,convert,,A,0.953292489,12,0.96097561,"0.8592896174863388
"
68,O,,,,use,correction,O,0.233344316,12,0.96097561,"0.8592896174863388
"
69,A,,,adjustments,take,nature,O,0.074316494,12,0.96097561,"0.8592896174863388
"
70,O,,,,take,nature,O,6.44E-05,12,0.96097561,"0.8592896174863388
"
71,A,,,step,include,examination,A,0.5,12,0.96097561,"0.8592896174863388
"
72,O,,,,include,examination,O,0.000220741,12,0.96097561,"0.8592896174863388
"
73,S-passive,,,analyses,weight,,A,0.896944284,12,0.96097561,"0.8592896174863388
"
74,S-passive,,,errors,correct,,A,0.997936606,12,0.96097561,"0.8592896174863388
"
75,O,,,,define,strategy,O,1.88E-06,12,0.96097561,"0.8592896174863388
"
76,A-passive,,,estimates,consider,representative,A,0.999932647,12,0.96097561,"0.8592896174863388
"
77,A,,,section,present,Eegimaa,A,0.999998808,12,0.96097561,"0.8592896174863388
"
78,O,,,,present,Eegimaa,A,0.5,12,0.96097561,"0.8592896174863388
"
79,O,,,,discuss,aspects,O,5.86E-08,12,0.96097561,"0.8592896174863388
"
80,S-passive,,,languages,classify,,A,0.999424219,12,0.96097561,"0.8592896174863388
"
81,S-passive,,,Speakers,find,,A,0.999982119,12,0.96097561,"0.8592896174863388
"
82,A,,,map,present,languages,A,0.9971717,12,0.96097561,"0.8592896174863388
"
83,O,,,,present,languages,O,0.00268608,12,0.96097561,"0.8592896174863388
"
84,S,,,arrow,point,,A,0.999943495,12,0.96097561,"0.8592896174863388
"
85,S-passive,,,Eegimaa,speak,,A,0.969102323,12,0.96097561,"0.8592896174863388
"
86,S,,,speakers,live,,A,0.998840511,12,0.96097561,"0.8592896174863388
"
87,A,,,river,separate,Mof-Ávvi,A,0.956073523,12,0.96097561,"0.8592896174863388
"
88,O,,,,separate,Mof-Ávvi,A,0.894841909,12,0.96097561,"0.8592896174863388
"
89,S,,,side,coincide,,A,0.996765614,12,0.96097561,"0.8592896174863388
"
90,A,,,map,show,location,A,0.999876261,12,0.96097561,"0.8592896174863388
"
91,O,,,,show,location,O,0.009180238,12,0.96097561,"0.8592896174863388
"
92,S-passive,,,Eegimaa,know,,A,0.998689592,12,0.96097561,"0.8592896174863388
"
93,O,,,,have,border,A,0.818127811,12,0.96097561,"0.8592896174863388
"
94,S-passive,,,meaning,know,,O,0.003727243,12,0.96097561,"0.8592896174863388
"
95,S-passive,,,names,write,,A,0.999594033,12,0.96097561,"0.8592896174863388
"
96,O,,,,use,spelling,O,7.60E-06,12,0.96097561,"0.8592896174863388
"
97,S-passive,,,codes,provide,,O,9.29E-05,12,0.96097561,"0.8592896174863388
"
98,S-passive,,,names,write,,A,0.977388263,12,0.96097561,"0.8592896174863388
"
99,S-passive,,,Names,write,,A,0.999962211,12,0.96097561,"0.8592896174863388
"
100,O,,,,use,orthography,O,0.012173382,12,0.96097561,"0.8592896174863388
"
101,O,,,,follow,pronunciation,O,5.11E-07,12,0.96097561,"0.8592896174863388
"
102,A,,,varieties,include,Kujireray,A,0.999943614,12,0.96097561,"0.8592896174863388
"
103,O,,,,include,Kujireray,O,0.005074015,12,0.96097561,"0.8592896174863388
"
104,S-expletive,,,communities,be,,A,0.979188979,12,0.96097561,"0.8592896174863388
"
105,S,,,speakers,live,,A,0.999999285,12,0.96097561,"0.8592896174863388
"
106,A,,,Speakers,use,term,A,0.999996066,12,0.96097561,"0.8592896174863388
"
107,O,,,,use,term,O,0.001833578,12,0.96097561,"0.8592896174863388
"
108,O,,,,mean,Jóola,O,0.407946497,12,0.96097561,"0.8592896174863388
"
109,O,,,,distinguish,variety,O,0.044437565,12,0.96097561,"0.8592896174863388
"
110,S,,,transmission,decline,,A,0.996933103,12,0.96097561,"0.8592896174863388
"
111,O,,,,understand,situation,O,0.175252751,12,0.96097561,"0.8592896174863388
"
112,S-passive,,,names,give,,A,0.998620272,12,0.96097561,"0.8592896174863388
"
113,O,,,,achieve,recognition,O,7.64E-05,12,0.96097561,"0.8592896174863388
"
114,A,,,Dvořák,employ,aspects,A,0.999985933,12,0.96097561,"0.8592896174863388
"
115,O,,,,employ,aspects,O,8.95E-06,12,0.96097561,"0.8592896174863388
"
116,S-passive,,,style,describe,,A,0.977298558,12,0.96097561,"0.8592896174863388
"
117,O,,,,absorb,influences,O,1.35E-08,12,0.96097561,"0.8592896174863388
"
118,O,,,,find,ways,O,5.61E-07,12,0.96097561,"0.8592896174863388
"
119,A,,,Dvořák,display,gifts,A,0.999968171,12,0.96097561,"0.8592896174863388
"
120,O,,,,display,gifts,O,0.001147365,12,0.96097561,"0.8592896174863388
"
121,O,,,,seek,recognition,O,9.88E-09,12,0.96097561,"0.8592896174863388
"
122,O,,,,submit,score,O,0.021278344,12,0.96097561,"0.8592896174863388
"
123,S-passive,,,manuscript,lose,,O,0.01177003,12,0.96097561,"0.8592896174863388
"
