EngSA,EngSO,GerSA,GerSO,FreSA,FreSO,KorSA,KorSO,PorSA,PorSO,HebSA,HebSO
0.97145534,0.108720995,0.9546398,0.14955,0.97721666,0.2106326,0.9313349,0.11530312,0.9432594,0.10047865,0.94600475,0.12046201
0.98281765,0.11047545,0.9723615,0.11948,0.98694885,0.19446929,0.9254275,0.09876544,0.9685733,0.08127338,0.972515,0.09876393
0.981258,0.07826369,0.9753,0.125,0.9857521,0.0869226,0.9037848,0.073856525,0.9601133,0.11364198,0.9651109,0.08453066
0.9893944,0.15375014,0.9753,0.0781,0.9889914,0.15494187,0.9336464,0.07884991,0.97326374,0.061585873,0.9719739,0.0887151
0.98862773,0.121702366,0.9696,0.0909,0.98536986,0.085006334,0.9210163,0.06876044,0.96994287,0.050710082,0.9717628,0.0809083
0.97907746,0.07173374,0.9697,0.1108,0.99013966,0.03893441,0.9312817,0.07755599,0.97002697,0.052643526,0.97130436,0.09342232
0.98383796,0.078421965,0.9608,0.119,0.9809577,0.0908279,0.9176523,0.06570511,0.9662757,0.054037012,0.9672715,0.059434343
0.9657998,0.11014206,0.9565,0.1081,0.97376823,0.15426585,0.91029793,0.081848,0.9600618,0.087340064,0.953901,0.09344809
0.9630727,0.0904484,0.951,0.1345,0.96953744,0.15599732,0.8994081,0.070720695,0.9603008,0.07200306,0.95301163,0.10415445
0.9606851,0.12739661,0.9504,0.0899,0.9571146,0.11642707,0.8716039,0.066944376,0.9537428,0.08760429,0.9253873,0.11407763
0.9663757,0.16619395,0.9361,0.1013,0.96822196,0.10907642,0.8860776,0.06709913,0.9697676,0.0786289,0.9196415,0.1296951
0.93836206,0.10704829,0.9201,0.1157,0.9499357,0.1386792,0.86783874,0.09260386,0.94580936,0.16725205,0.89058656,0.14055496
0.9223183,0.12814027,0.9054,0.1411,0.9541228,0.14037739,0.8520341,0.119967215,0.9518204,0.18160228,0.8887566,0.12570721
